artist,biografia,playcount,oyentes
Jay Ef,"<a href=""https://www.last.fm/music/Jay+Ef"">Read more on Last.fm</a>",2508,714
Mym,"<a href=""https://www.last.fm/music/MYM"">Read more on Last.fm</a>",46668,7180
Camileazy,"<a href=""https://www.last.fm/music/Camileazy"">Read more on Last.fm</a>",4698,913
I4NI,"<a href=""https://www.last.fm/music/I4NI"">Read more on Last.fm</a>",15489,2105
Sistema Negro,"<a href=""https://www.last.fm/music/Sistema+Negro"">Read more on Last.fm</a>",29668,4006
Sixto Rein,"Situación geográfica	Caracas Venezuela
Fecha de lanzamiento: Abril 2014.
SIXTO REIN ORIGINAL BOY
Localidad natal	Barcelona (Venezuela)
Afiliación	SACVEN
Biografía: Sixto Reynaldo Rodriguez Dorta nació en Anzoátegui, Venezuela. Su infancia estuvo llena de música y desde temprano empezó a demostrar su interés y talento, enfocado en ritmos latinos. Se formalizó como cantautor y formó parte de los grupos venezolanos Calle Ciega y Los Nene Gustavo y Rein. <a href=""https://www.last.fm/music/Sixto+Rein"">Read more on Last.fm</a>",57671,12814
Stardown,"<a href=""https://www.last.fm/music/Stardown"">Read more on Last.fm</a>",278707,14337
Lenny Tavárez,"Julio Manuel González Tavárez, más conocido como Lenny Tavárez, es un cantante, compositor, productor y bailarín puertorriqueño. Formó parte del dúo Dyland & Lenny. <a href=""https://www.last.fm/music/Lenny+Tav%C3%A1rez"">Read more on Last.fm</a>",1251691,105639
Calicoe,"<a href=""https://www.last.fm/music/Calicoe"">Read more on Last.fm</a>",8941,707
El Calle Latina,"<a href=""https://www.last.fm/music/El+calle+Latina"">Read more on Last.fm</a>",3663,966
Jay y el Punto,"Jay Y El Punto....
género que tiene cautivada a la juventud tiene dos nuevos exponentes colombianos, se trata de JAY & El Punto dos jóvenes talentos que se unen para hacer reggaetón romántico o “romantiqueo”. El Punto, desde pequeño siempre se inclinó por el gusto musical, pues creció en El Valle, uno de los barrios más populares de Barranquilla, en el que la música, y la cultura de ritmos caribeños como la champeta, el succus y ritmos afrocaribes despertaron en él <a href=""https://www.last.fm/music/Jay+y+el+Punto"">Read more on Last.fm</a>",4845,1255
Yash Kumar,"<a href=""https://www.last.fm/music/Yash+Kumar"">Read more on Last.fm</a>",2290,267
So Real,"<a href=""https://www.last.fm/music/So+Real"">Read more on Last.fm</a>",1575,335
DMEI,"<a href=""https://www.last.fm/music/DMEI"">Read more on Last.fm</a>",2220,733
HOWLING,"<a href=""https://www.last.fm/music/Howling"">Read more on Last.fm</a>",1779784,169160
Mojinos Escozios,"El nombre de este grupo es incorrecto; el nombre correcto es Mojinos Escozíos.

Por favor, actualiza los tags de tus ficheros. Puedes usar musicbrainz para ello. <a href=""https://www.last.fm/music/+noredirect/Mojinos+Escozios"">Read more on Last.fm</a>",91843,5482
Gotland,"<a href=""https://www.last.fm/music/Gotland"">Read more on Last.fm</a>",4268,497
Devlsy,"<a href=""https://www.last.fm/music/Devlsy"">Read more on Last.fm</a>",6276,568
Outloud,"La historia de esta banda se remonta en 2004 en Atenas, Grecia, cuando Tony Cash (guitarrista de la banda) inició sus lecciones de guitarra con el guitarrista Bob Katsionis (ex-Firewind, Nightfall).
Tony parecía haber nacido para el rock, y fue constante en su aprendizaje realizando grandes riffs que Bob grabó para algunas demos.
Pronto necesitaron hacerse con un cantante, y Bob recordó un chico que había conocido en New York en una de sus giras con Firewind, y pensó que era la voz que necesitaban. <a href=""https://www.last.fm/music/Outloud"">Read more on Last.fm</a>",171652,10220
Shintoma,"<a href=""https://www.last.fm/music/Shintoma"">Read more on Last.fm</a>",1059,110
Diana Navarro,"“Es como respirar”, dice Diana Navarro cuando habla de su voz. Una voz única que asombró cuando en 2005 apareció su primer disco, No te olvides de mí, del que se vendieron 250.000 ejemplares y consiguió doble platino en España. Una voz que vuela como un torbellino por encima de una música enraizada en los aires sureños de Andalucía, mezclando lo popular y lo contemporáneo, la tradición y el pop, y que se eleva en un laberinto de melodías y giros fascinantes. <a href=""https://www.last.fm/music/Diana+Navarro"">Read more on Last.fm</a>",173160,16026
