artistas,colaboracion,genero_musical,nombre,ano_lanzamiento,id,tipo
"Dexys Midnight Runners, Kevin Rowland",True,pop,Jackie Wilson Said (I'm In Heaven When You Smile),2015,2qpJfjaS0RgLaITmCunutu,track
"Damien Jurado, filous",True,pop,Ohio - filous Remix,2015,5PJ9iShHfqd4JWbBL46MRr,track
Mariza,False,pop,Alma,2015,2z8sI7PU8j2S3NPSflCjbi,track
Kiko y Shara,False,pop,Perro que ladra no muerde,2015,2nMIRj6a9xJmVSaswnuinR,track
Biznaga,False,pop,Cul De Sac,2015,3EezaOYnuX7cV4uaF4DmCJ,track
Mojinos Escozios,False,pop,¡Sí se puede!,2015,4XCIZprYGwwSp128P6cZMb,track
Martina Stoessel,False,pop,"Como Quieres - From ""Violetta - Hoy somos más""",2015,2CcowQIddYPwHgqrTlUNpn,track
"Kate Ryan, Christian Liebeskind",True,pop,Runaway (Smalltown Boy) [Christian Liebeskind Radio Remix],2015,0xBvRRXW1pVKo8szlLJFs0,track
CD9,False,pop,"Ven, Dime Que No",2015,1Lv62wiKxjsjzaK83BJ8zi,track
Murciano Total,False,pop,La casa parisina,2015,2gRWWAvCbEFBdh1qQOzS3V,track
"Ivan Ferreiro, Bunbury, Santi Balmes",True,pop,Dies irae (feat. Bunbury et Santi Balmes),2015,0uU02gRgpYZlYdA89W4gv5,track
"Global Deejays, Frontload",True,pop,Get Up! - Extended Mix,2015,1Y8jC5fUAFbw7q8nAPb2S2,track
Marisol,False,pop,Con los ojos abiertos,2015,3AcFjKQLgVS3mZjkInMawZ,track
Ecos del Rocío,False,pop,Emigrante del Sur,2015,4MQOd74wSdu9noSsh3pwi8,track
Fran Ocaña,False,pop,No Vale la Pena,2015,46G4SdPblanYHZnzLL305q,track
Picco,False,pop,You Know Why - Edit,2015,6idtNT4TA7GlRYXnF8ZGpL,track
Eladio y Los Seres Queridos,False,pop,Virgen de la Carretera,2015,2e87UqS3zS3LeQqZ81PXkv,track
Hazte lapón,False,pop,Cómo funciona un corazón,2015,552I2KcjyUDCbEMSOhr0Ll,track
The Vamps,False,pop,Wild Heart,2015,3g7xh2gZJW0PtbSid92AVQ,track
Russian Red,False,pop,John Michael (Thalab Remix),2015,4kL4ZF5OYyTGQK5RSCToYu,track
Nick Jonas,False,pop,Jealous,2015,2muP4xe3ooskovBsdIujL6,track
Mi Capitán,False,pop,Millones de palabras,2015,7L8D4xO2Tia2y7TQtKs5ZL,track
Travis Matte and the Kingpins,False,pop,61,2015,11fWzKhw23lSgdw214x8sn,track
Orlando Dias,False,pop,Preciso de Ti,2015,4jtMPqV18zb45GIH22TGx2,track
Agnaldo Timoteo,False,pop,Último Telefonema - Ao Vivo,2015,1npGjRpPwIj2P5tViz8nH2,track
Agnaldo Timoteo,False,pop,Queremos Deus,2015,0y7teqT7yBzY8gkRs0qT5i,track
"Khushboo Jain, Pawan Singh",True,pop,Sarak Jala Odhani,2015,4CkudWPpQicr5BTXofRmLR,track
Kirtidan Gadhvi,False,pop,Ek Zarmaariyalu Pon,2015,05R5oyXvPqiOatbvFSilzw,track
Tarali Sarma,False,pop,Kohore Uddhaba,2015,4qcAww8KCskwY2wweXEzbm,track
Alkawi,False,pop,Lenggang Parasaian,2015,2EIS6Szw6l4uHA2OEhNlMM,track
