artista,genero_musical,tipo,nombre,año_lanzamiento,id,popularidad
S Curro,metal,cancion,Lost,2010,4EuRvF9VCtuteV9HdHklex,1
Cripta,metal,cancion,Eres Fuego,2010,3K7peHuWGHhNlk3J5HtwzS,0
Avalot,metal,cancion,No Tanquis Els Ulls,2010,6zLpWhioAFiBuYuLKa3o0S,0
Cripta,metal,cancion,Debes Callarte,2010,3Lq67c1kMbYRtAr0ouFwhU,1
Avalot,metal,cancion,Vora el Foc,2010,44HuA3UPbFtE48BGnUHCQM,0
Mojinos Escozios,metal,cancion,Frío en Madrid - Leyenda urbana,2010,2hfr68GS4F15LEWOWAPm5x,0
Siroco,metal,cancion,Metodología - Remaster,2010,5JEraQZsmtEiyDCMCBugFY,1
Cavalera Conspiracy,metal,cancion,The Exorcist,2010,0IPiJJmhddblJdWIJGdBo3,1
Leæther Strip,metal,cancion,Abusive,2010,51NBzSX3ZcwbbyQCXF5rab,0
BrandNew Sunset,metal,cancion,ฝน,2010,2MKwUOWEfGdPQvSZsgiFbc,6
Natterjack,metal,cancion,Shut Up Fuck Off !!,2010,0u8hYuxvwzyiocmj41eiDF,6
Blasting Hatred,metal,cancion,A Cloak of Eyes,2010,4o8GgLgHWtxE0MR5wVyT2x,0
Laethora,metal,cancion,World Deluge,2010,7BlbeZhtezmyhiyunM7wdl,0
Death Saw,metal,cancion,Samo hrabro,2010,47Rwm90vPQv3dweJoQwNsM,0
Bolt Upright,metal,cancion,Woodstove Blues,2010,1t0AHShicUsxafKhhogkCx,0
Oblivion Machine,metal,cancion,Sparsa (Morbid Fuckin Death) [Remix by Gorrus],2010,06lL0EW4eJkh4SZeYpVNBb,0
Jonnyx and the Groadies,metal,cancion,Broadsword,2010,4O5eyafI9URUcHkHw4Eoun,0
Megilloth,metal,cancion,Farewell a False Paradise,2010,6txhrSNmW0vR6jAUokJgT5,0
Catfish,metal,cancion,Charleville,2010,6UpTCKsc8RRvYnoFctcI5w,0
A Cloud Forest,metal,cancion,Intro,2010,14sL0xhklhvN1y3BmPlrLF,0
Pastor Brad,metal,cancion,I Wanna Be,2010,6LnLx0YdQYJ9ZdjLUcnySb,0
Signal 99,metal,cancion,Ten Fold,2010,5HVUGzLCkj6KTJIzPUR1nP,3
Nihil Kaos,metal,cancion,Blood Stained Aeon,2010,6bbcNLF2vfF0ByPGm2l2dh,0
Hellveto,metal,cancion,Smak Zniewolenia,2010,14s6vbWKcivP3fxwcc6E4P,0
Decayed,metal,cancion,Darkness Falls,2010,58Hs6jSYtaECrOhAqGhFwA,0
Andre Matos,metal,cancion,Mentalize,2010,0kArUYRTwoGrOF6FcHZoj1,0
Infer,metal,cancion,Recollection VII,2010,3gPoQ06EYgrpuRZwwVKcIR,0
Fallen Sentinel,metal,cancion,Here Comes the Darkness,2010,2ncdB2oBXVCYkCpLl3yfRJ,0
Tenochtitlan,metal,cancion,Severe,2010,1yM0RPpJXj2lo40CDQB4oR,0
Methodica,metal,cancion,Heavenland - Marble Column Part 1,2010,43r114GqOPSThsBh0efHDj,0
Halcyon Way,metal,cancion,Icon of Resolution,2010,7lsQI2ZfS8f9YhtiHp8LbH,0
Dynabyte,metal,cancion,Cold Wind Of Fear,2010,0bd05cVBQG4G7o1pqHHFZE,0
Michel Oliveira,metal,cancion,The Unknown - Demo,2010,5ZOMvmwFHSEcbss8G2VnUY,0
Scythia,metal,cancion,Red Wizard,2010,0IH511YSIzGMoSWIgPJfh6,0
Doug Webb,metal,cancion,Once I Loved - bonus track,2010,0rY92nRen8xrNAK28pCqTX,0
