artista,genero_musical,tipo,nombre,año_lanzamiento,id
German Meoro,pop,cancion,Y Dale,2010,2NVWBaM36ZARGsRQeYN2RJ
Juan Pardo,pop,cancion,Mi Guitarra,2010,5nX2qjUiyGr6asnIZKHWFG
Melocos,pop,cancion,Enamorado De La Moda Juvenil - Con Herminio Molero,2010,4EN4o04jMPsuY47ZlF1Jci
Los Rebeldes,pop,cancion,No quiero verte,2010,0hVRDdMOJne7fhpVmegeKz
Iyaz,pop,cancion,Replay,2010,7wwqIlcVHOgGwPQ5eXbWth
Albert Hammond,pop,cancion,Al Otro Lado Del Sol,2010,1TWiprQ3p0yCOHIfUWOaJ0
Melocos,pop,cancion,Ni Tu Ni Nadie,2010,5590JnBrXlpxj11czrtjnp
Albert Hammond,pop,cancion,The Other Side Of The Sun,2010,4vUky695inGGNA3qhxYFEG
German Meoro,pop,cancion,Te Besaría,2010,362RG2dGPt5UON3bg6bp9p
Nelly Furtado,pop,cancion,Try,2010,6G7yCXqmpJOZAPPcSNSinL
Albert Hammond,pop,cancion,Las Flechas Del Amor,2010,7cTcuw2oYB80X1CMloQqX9
José Parra,pop,cancion,Turay,2010,6eifMtgrfASaAsqJ7o2QQR
Bustamante,pop,cancion,Te Propongo Mi Amor,2010,2UJzFT14TJv1SDqnwZALQX
Martin Solveig,pop,cancion,Hello - Dada Life Remix,2010,0mNW0bQRhgFJuPFIMtw4Be
Los Xey,pop,cancion,Si Vas a Calatayud,2010,1L6dkeVCn27jl25Xn5jilB
Roser,pop,cancion,Solo en ti - con Flavio Rodríguez,2010,6SATpRyeo4eCwW5nDkiwUG
Sidecars,pop,cancion,Anfetamina,2010,66saHb3WxylwVnKh7Ft2jt
Nelly Furtado,pop,cancion,Powerless (Say What You Want),2010,1ptkpGqxO87HiNa6flqjJa
Fangoria,pop,cancion,¿Cómo pudiste hacerme esto a mí?,2010,55bh5QE6UfBeIJsgeP26TG
Sidecars,pop,cancion,Apaga y Vámonos,2010,7ejxnz8enaWXSIq7HI4Lml
Sergio Alcover,pop,cancion,Y yo que sé,2010,3qv1OGSSOVyEFUiao6CAEg
José Parra,pop,cancion,Palabras de Pasión. Spanish Guitar: Pedro Sierra y José Juan Pantoja,2010,4eMc2Kz76GoKQFzUZTp4g0
Fito y Fitipaldis,pop,cancion,Me acordé de ti,2010,1UQcnr1qsdTZRhI3Gs0Yp6
Albert Hammond,pop,cancion,It Never Rains In Southern California - Con Al Stewart,2010,29u4w34sjF3XzwedfroDqL
Melocos,pop,cancion,Adios Papa,2010,5tGOCGotgQofuId4e14cKG
Taio Cruz,pop,cancion,Dirty Picture - Spanish Version,2010,02fBB6Ke5tPOVcuaqjMR2i
Ángel Capel,pop,cancion,En Mis Sueños,2010,2IbIgEggsYiQhs4DntVUnA
Albert Hammond,pop,cancion,The Air That I Breath - Con Cliff Richard,2010,2z9JG6BKcygI3Ilb0YFnCo
Felipe Conde,pop,cancion,Echo de Menos (Spanish Pop),2010,1BZRwolevmiiDAKAsUTBzX
Axwell,pop,cancion,Nothing but Love - Remode,2010,1e5cs2Da7K8saz0u1bDEMh
Parade,pop,cancion,Romance Morlock,2010,6SUJpIznoec5usszmdXoiH
Parade,pop,cancion,El Futuro,2010,6W3aND8LXtW8mwSe7x6Fgx
Albert Hammond,pop,cancion,Don't Turn Around,2010,4To2m2554tlNQmLhqNVoYx
Niño y pistola,pop,cancion,Not The Time,2010,2nzpV33qWjCmwDOeiTejOe
José Parra,pop,cancion,Me dejé llevar (Gipsy Rumba version),2010,2qs3TDjh5xXhyExMJ3xr2l
Los Directivos,pop,cancion,Jugando Con Fuego,2010,6yW5MfdqfZukSIvRvMOo5k
Ornamento y Delito,pop,cancion,Beñat,2010,2u9yFXiwUw7MTvIORnWdtN
Lucky Soul,pop,cancion,Love³,2010,4ZYJvQhG5QqAgGXuANW94V
Pepe Mairena,pop,cancion,Mi Ovejita Lucera,2010,6iGJRJhEuVp2lST2NdY5Fw
Taio Cruz,pop,cancion,Higher,2010,4Wds6qqXZfKnHBUMcQpnJP
Issa Pereira,pop,cancion,Lisboa Antigua,2010,5Su2xy7fyRKuv3b6dS2WhC
Nelly Furtado,pop,cancion,In God's Hands,2010,6qJG5ku9zrfp7RaxuDhg7E
