artista,genero_musical,tipo,nombre,año_lanzamiento,id
Ruxe Ruxe,rap,cancion,Moi punk,2010,5XI1aJJ5EHzKeZ5IrqlbOM
S Curro,rap,cancion,Armas de Distorsión Masiva,2010,1K41xIpbCfosxKPkolSxw8
S Curro,rap,cancion,Lost,2010,4EuRvF9VCtuteV9HdHklex
Ruxe Ruxe,rap,cancion,Cans,2010,4erVIQD9P613UXh1cemNgl
H Kanino,rap,cancion,Mala Sombra,2010,2cps6VPx3BuQIuZavnPHRv
Taio Cruz,rap,cancion,Dirty Picture - Spanish Version,2010,02fBB6Ke5tPOVcuaqjMR2i
Zenit,rap,cancion,Veinticuatrosiete,2010,6DjdaK3ErWLgPUgLfnphzz
Taio Cruz,rap,cancion,Higher,2010,4Wds6qqXZfKnHBUMcQpnJP
Ciniko el Octavo Arte,rap,cancion,Cita a Ciegas (Use),2010,0018TE3s5jubWNoYxdXDgH
Ciniko el Octavo Arte,rap,cancion,Fiesta de Disfraces,2010,4SFqW4bul4EodrFGeJzTPT
Siroco,rap,cancion,Metodología - Remaster,2010,5JEraQZsmtEiyDCMCBugFY
Hablo,rap,cancion,Chkoun Li Ba9i Mesmou3?,2010,0MunSooGRGf0gqGjTK8zjg
Dat Boi T,rap,cancion,Ride On My Enemy,2010,0k8T3ZVcPkd0Fol4xtu8f7
Lil' Keke,rap,cancion,The Package,2010,3ILj98o3OndjpSov9UNF20
Ruxe Ruxe,rap,cancion,Xurou o vento,2010,2z07J6LP2Hbg8QBFN8pu0q
Maximilian,rap,cancion,The Snake,2010,1jZgWFR3WYumTOul7p4HQM
Wolandia,rap,cancion,FAMILIA REAL,2010,3qlj1t1SSp5h9tEv0MLOqK
Lil' Keke,rap,cancion,Turn It Up,2010,1swZ1rLseTU5z7bNw3MUPH
Samma king,rap,cancion,3wazza Diyali,2010,1EYW7Htm3OKpgi4w7IhufK
Fex Bandollero,rap,cancion,Deus Com Você,2010,138PeDYexGwsL3hcspHgmz
Count Bass D,rap,cancion,Fallback (feat. H2O & S.T.I.N.K.),2010,7v1PePswcpC28F7L1MuhJc
Guerrilleroz,rap,cancion,Hasta Que las Muerte Nos Separe,2010,2pOgYAeb7vU7Pw1yYjWEPd
Sissy Nobby,rap,cancion,Snake,2010,1miY9feQnz09mGj3665Qxe
Fisko23,rap,cancion,No te niegues ser feliz,2010,5GMiV9gsllXl3eqtlVqtmJ
Hood P,rap,cancion,Ugkz - Remasterizada,2010,470MmQXrRPRexXFz67mIYX
X da Questão,rap,cancion,Sacrifício do Gueto,2010,1aHmahzp62lqYgF2I4qKsI
Cuete Yeska,rap,cancion,Candlestick,2010,29Dbb86wwTi5nGnUKZrv3S
Culto Racional,rap,cancion,Essência,2010,5Wh2tPq2rNqMxlNxxLxeXQ
Sissy Nobby,rap,cancion,And I Live,2010,1VTGaOY6wGJptaBbnIzdfu
Rodstar,rap,cancion,Meu Ca$h Endinheirou,2010,3RTSdbTyRHmOX5sPv7iQmS
HD,rap,cancion,Payday,2010,6vBIlluOF4Vwel6CGlIiQ9
Haystak,rap,cancion,Blastville Pt. 2,2010,4FOy3Oe87FrcRSU9mJYsYl
Haystak,rap,cancion,Flag Folded (feat. Paisley Hill),2010,05NbCiorUQTkoFER2WWOAx
Haystak,rap,cancion,Confrontational,2010,0f8fSe00SI8uErt4s2hp07
Novo Cenario,rap,cancion,Errou,2010,58JYMoiitMzimJoVJmvGb4
Shady Nate,rap,cancion,Purple Rain (feat. J. Stalin & Lil Rue),2010,3tPeISgP3pljiftIRyz29G
8Ball & MJG,rap,cancion,At Last,2010,4vZUqRJ7wYkMLT8sE1eqHw
The Lacs,rap,cancion,Country Boy's Paradise,2010,654XfmtCpVL67de3UY92la
DJ Michael 5000 Watts,rap,cancion,Hit That Lick (Screwed & Chopped),2010,2nyD4o11hq4SXIEt6qTLzo
Natalac,rap,cancion,Players Ball,2010,75TpdQ6yKsuJQ7rynXKvIS
Snapper,rap,cancion,My Mexicans,2010,4nFlYb4xBcJ6eM22Nms7Y6
Akelunpiano,rap,cancion,Ke Kulpa Tenemos,2010,0gttFgasoLLndUIrDYXWYP
J-Dawg,rap,cancion,Last Year,2010,6twozGgQzlRxnB5htLliqu
