artista,genero_musical,tipo,nombre,año_lanzamiento,id
Daniel Huen,reggaeton,cancion,Mañana (Edición Especial),2010,1viiPtaH9lAafpBo34CJLJ
Chriss Romel,reggaeton,cancion,La misión,2010,6GyJnaiUE1YmVmjIwzEmZO
Nova,reggaeton,cancion,Instead Of Silence (Album Version),2010,3bYWDjlbEXshs7wQn4mDxv
Daniel Huen,reggaeton,cancion,Pero No,2010,4ZpwKBlSuathG7w3gDmT2V
Daniel Huen,reggaeton,cancion,En Mi Boca,2010,6aBHL8N6gvat38RJhLFoLa
Soly,reggaeton,cancion,Fiesta de gala (feat. John John),2010,3LxneUNePYCgRK4G1OyMmq
Nova,reggaeton,cancion,Sleepless (Album Version),2010,7tl4GRV1xUtKpv3sq7zpZu
Chriss Romel,reggaeton,cancion,Las amo,2010,0lYAjBQXHGSH8jOTPth0U4
Chriss Romel,reggaeton,cancion,El combo de la calle,2010,41xTPBdhB9QfVdCRij9LDI
Endo y Lele,reggaeton,cancion,Ella Se Solto,2010,7n4GwjMvDCNgtUEkFAAcyV
Hector & Tito,reggaeton,cancion,Donde Estan,2010,1FmDHfYEyB1BwmcZC3uw4R
Daniel Huen,reggaeton,cancion,Testamento (Edición Especial),2010,7LR2QaDdgeS3oy6CEVTkXm
Daniel Huen,reggaeton,cancion,Inevitable (Edición Especial),2010,0SKbD4QGFl8bMtEEWYJA58
Almighty,reggaeton,cancion,"One Love (Almighty 12"" Anthem Mix)",2010,239QC73x29OwDfUIv6xGCq
Nova,reggaeton,cancion,Hunted - Jay M Radio Edit,2010,7Mol0pFtpSXu5ijbDzCNfW
Andy Boy,reggaeton,cancion,Automatica,2010,72gMrvskkWnXgeqglNuUwG
Chriss Romel,reggaeton,cancion,Pasame el microfono,2010,5cQpgxbPkoJj5N371O6zRS
Daniel Huen,reggaeton,cancion,Típico,2010,17HTgPQiEaz3tE7IAOaOo1
Chriss Romel,reggaeton,cancion,Derrota tu gigante,2010,5R7MaOJIvf0byWqix7uq2d
Nova,reggaeton,cancion,Hunted - Radio Mix,2010,41jmceLzPjlc2nGa3RVy7x
Nova,reggaeton,cancion,One Step (,2010,3WEHYsbDQwxrg57TuCGmli
Daniel Huen,reggaeton,cancion,En Mi Boca (Edición Especial),2010,5rfCy5r6CwdDKELy6ybX6j
Chriss Romel,reggaeton,cancion,Quien me abraza,2010,4jCa6x4Gc0Q9XsN4Pt4cBF
Soly,reggaeton,cancion,Intro,2010,0zd1fRgEW4CLR4abbPR8Wt
Alexander DJ,reggaeton,cancion,Por Que Te Amo,2010,22Cs12PLH6cQLvxS7jGwl9
Nova,reggaeton,cancion,Cloudy Skies (Album Version),2010,4bgqX2i5HGNzQA3ttHbb65
Daniel Huen,reggaeton,cancion,El Pregonero,2010,2v3ewrlbON238fT4D8nUH0
Sniper SP,reggaeton,cancion,Money & Respect,2010,1yyWACk8t6IYHzqqeRZxSn
Chriss Romel,reggaeton,cancion,La fiera,2010,13SJMJRqXe3J6xn6iiQaoO
Chriss Romel,reggaeton,cancion,Siento,2010,3kMnWoIZ8rV3xncM5TEcuf
Soly,reggaeton,cancion,Candelero (feat. John John & El Fredo),2010,6echu7Pyoatt68iZJsg6B2
Chriss Romel,reggaeton,cancion,Comienza el party,2010,7zkRVH04zxtzrKYX2fHrhe
Daniel Huen,reggaeton,cancion,Mañana,2010,0cYia9aBnyKy8YgjBoF4XU
Chriss Romel,reggaeton,cancion,Vive,2010,6nFn6wi0XQZEQgKMX9aoBP
Daniel Huen,reggaeton,cancion,Testamento,2010,3RI3QcWeJZbXTMg7nXBQUE
Chriss Romel,reggaeton,cancion,Por Fe,2010,2TwbZxOZPMNHu7Ue9Uetf0
Daniel Huen,reggaeton,cancion,Típico,2010,77sx73jZbczJP8EgTTxj6D
Sniper SP,reggaeton,cancion,Apaguen las Camaras,2010,3X1OoSyal9nM2sLkTKpXZY
Soly,reggaeton,cancion,Dios es el primero (feat. Ricky),2010,107nRyZovYK6LOsrJaHM9f
Chriss Romel,reggaeton,cancion,De su mano me lleva,2010,6hpdN4whSy9zvHfROyrqIC
